,Depth comp [mcd],Age [ka BP],SS [µm] (Plus fine sand (mean)),63-10 µm sort silt [%] (Plus fine sand (mean)),SS [µm],63-10 µm sort silt [%],SS_dHolocene,SSFS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,dU_ssfs_dhol_mccave,dU_ssfs_dhol_mccave_2std,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_wu_SSFS,pct_dU_dhol_wu_SSFS,dU_dhol_culp
44,0.5,1.01,47.46,85.58,34.76,78.92,0.4268571428571377,0.24400000000000688,0.5805257142857073,0.08110285714285614,0.3318400000000094,0.04636000000000129,0.3244114285714247,1.2432801291546545,0.18544000000000524,0.5167739749237694,0.6018685714285641
45,0.52,1.05,47.23,83.93,33.84,76.43,-0.4931428571428569,0.014000000000002899,-0.6706742857142854,-0.0936971428571427,0.019040000000003943,0.002660000000000551,-0.37478857142857125,-1.4363463874972946,0.010640000000002203,0.029650965774319936,-0.6953314285714282
46,0.53,1.07,48.17,87.08,34.73,80.61,0.3968571428571366,0.9540000000000077,0.5397257142857058,0.07540285714285588,1.2974400000000106,0.18126000000000153,0.3016114285714238,1.1559010036116524,0.7250400000000059,2.020501524906828,0.5595685714285625
47,0.54,1.09,46.85,83.86,33.55,76.41,-0.7831428571428631,-0.36599999999999255,-1.0650742857142939,-0.14879714285714396,-0.49775999999998993,-0.06953999999999855,-0.595188571428576,-2.2810112677463015,-0.27815999999999436,-0.7751609623856164,-1.104231428571437
48,0.55,1.11,51.61,88.07,35.4,80.33,1.0668571428571383,4.3940000000000055,1.4509257142857082,0.20270285714285619,5.975840000000008,0.8348600000000008,0.8108114285714251,3.107368140738631,3.339440000000004,9.306167400881069,1.5042685714285648
49,0.56,1.13,46.26,82.63,33.17,75.02,-1.1631428571428586,-0.955999999999996,-1.5818742857142878,-0.22099714285714311,-1.3001599999999947,-0.18163999999999914,-0.8839885714285726,-3.3878135246242738,-0.726559999999997,-2.024737377160277,-1.6400314285714306
50,0.57,1.27,44.59,80.92,32.69,73.62,-1.6431428571428626,-2.6259999999999906,-2.234674285714293,-0.31219714285714373,-3.5713599999999874,-0.49893999999999794,-1.2487885714285756,-4.785879533312267,-1.9957599999999929,-5.561674008810553,-2.316831428571436
51,0.58,1.54,43.98,81.05,32.82,74.2,-1.51314285714286,-3.235999999999997,-2.0578742857142895,-0.28749714285714356,-4.400959999999996,-0.61484,-1.1499885714285736,-4.407236655959265,-2.459359999999998,-6.853608946119954,-2.1335314285714326
52,0.59,1.82,47.28,84.09,33.78,76.59,-0.5531428571428592,0.06400000000000716,-0.7522742857142886,-0.10509714285714311,0.08704000000000975,0.01216000000000135,-0.42038857142857294,-1.6111046385832988,0.04864000000000544,0.13554727211116396,-0.7799314285714314
53,0.6,2.09,45.13,81.47,32.78,74.04,-1.5531428571428592,-2.0859999999999914,-2.1122742857142884,-0.29509714285714317,-2.8369599999999884,-0.3963399999999986,-1.180388571428573,-4.5237421566832605,-1.5853599999999934,-4.417993900372737,-2.1899314285714313
54,0.61,2.37,45.11,81.22,32.84,73.73,-1.4931428571428569,-2.1059999999999945,-2.0306742857142854,-0.28369714285714265,-2.864159999999993,-0.4001399999999986,-1.1347885714285713,-4.348983905597256,-1.6005599999999958,-4.460352422907478,-2.105331428571428
55,0.62,2.65,46.56,84.32,33.66,77.28,-0.6731428571428637,-0.6559999999999917,-0.9154742857142947,-0.12789714285714415,-0.8921599999999887,-0.12463999999999853,-0.5115885714285764,-1.9606211407553074,-0.4985599999999937,-1.3893595391392575,-0.9491314285714377
56,0.63,2.92,45.58,82.08,33.52,74.84,-0.8131428571428572,-1.6359999999999957,-1.1058742857142858,-0.1544971428571429,-2.2249599999999945,-0.3108399999999989,-0.6179885714285714,-2.368390393289283,-1.2433599999999967,-3.4649271433412316,-1.1465314285714285
