,Age [ka BP],ln(Zr/Rb),SS [um],ACC strength [m/s],ACC strength [%],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
25,13.0,1.2397,15.8148,6.0759,76.871,-0.8617695652173953,-1.1720066086956578,-0.16373621739130506,-5.167546969700547,-0.6549448695652205,-5.167546969700547,-1.2150950869565273
26,13.5,1.1908,15.697,5.8763,74.346,-0.9795695652173961,-1.3322146086956588,-0.18611821739130519,-5.873927256961173,-0.7444728695652211,-5.873927256961173,-1.3811930869565285
27,14.0,1.1403,15.5756,5.6705,71.743,-1.1009695652173956,-1.4973186086956582,-0.209184217391305,-6.601894717686463,-0.8367368695652206,-6.601894717686463,-1.5523670869565278
28,14.5,1.0706,15.4077,5.3859,68.141,-1.2688695652173951,-1.7256626086956575,-0.24108521739130495,-7.608696502330418,-0.9643408695652204,-7.608696502330418,-1.789106086956527
29,15.0,0.9865,15.2053,5.0429,63.801,-1.471269565217396,-2.0009266086956585,-0.27954121739130544,-8.822375366010812,-1.1181648695652209,-8.82237536601081,-2.074490086956528
30,15.5,0.9553,15.1301,4.9154,62.189,-1.5464695652173948,-2.103198608695657,-0.2938292173913051,-9.273307433939486,-1.17531686956522,-9.273307433939488,-2.1805220869565263
31,16.0,0.9458,15.1072,4.8766,61.699,-1.5693695652173947,-2.1343426086956567,-0.2981802173913053,-9.410625842923087,-1.19272086956522,-9.41062584292309,-2.2128110869565263
32,16.5,0.9331,15.0767,4.8249,61.044,-1.5998695652173947,-2.1758226086956567,-0.3039752173913053,-9.593517173665438,-1.21590086956522,-9.59351717366544,-2.2558160869565262
33,17.0,0.9154,15.034,4.7525,60.127,-1.6425695652173946,-2.233894608695657,-0.3120882173913051,-9.84956503670473,-1.24835286956522,-9.84956503670473,-2.3160230869565264
34,17.5,0.9102,15.0215,4.7313,59.859,-1.6550695652173957,-2.2508946086956585,-0.3144632173913049,-9.924520500123734,-1.2578528695652207,-9.924520500123732,-2.333648086956528
35,18.0,0.9043,15.0073,4.7073,59.556,-1.6692695652173946,-2.270206608695657,-0.31716121739130454,-10.009669906567707,-1.26864486956522,-10.009669906567705,-2.353670086956526
36,18.5,0.9229,15.052,4.783,60.514,-1.6245695652173957,-2.2094146086956585,-0.3086682173913049,-9.741629169381383,-1.2346728695652207,-9.741629169381381,-2.290643086956528
37,19.0,0.9333,15.0772,4.8257,61.054,-1.5993695652173958,-2.1751426086956585,-0.30388021739130533,-9.590518955128685,-1.2155208695652209,-9.590518955128687,-2.255111086956528
38,19.5,0.93,15.0692,4.8123,60.884,-1.607369565217395,-2.1860226086956573,-0.3054002173913051,-9.638490451716839,-1.22160086956522,-9.638490451716837,-2.266391086956527
39,20.0,0.9208,15.0471,4.7747,60.408,-1.629469565217395,-2.2160786086956574,-0.3095992173913049,-9.771011711041625,-1.23839686956522,-9.771011711041623,-2.297552086956527
