MIS,SS_max,SS_min,U1541_max,U1541_min,AIS_max,AIS_min
1.0,0.2708372076015553,0.43364860092979823,0.16310712824763607,0.4376250124818901,1.1336523767280469,0.09279230746985997
2.0,0.36187398906443036,1.027283291525766,0.12519615322237973,0.11423444953012538,0.0681960014882859,0.102288520840491
3.0,1.2207329500306776,0.4178410141399907,0.03341163243728251,0.14537913844612993,0.12474181544502379,0.06854698161617773
4.0,0.9727008916314758,0.6304469198797399,0.09394787457767648,0.12149025432179286,0.10233858337872649,0.2433116080178807
5.0,0.19354705757444463,0.2448179869427924,0.18901921589911305,0.17688844922962912,0.146142627825244,0.09767011868822695
6.0,0.3559090631621886,0.2498923835996255,0.2743656795306706,0.04922733386894384,0.09826747425520044,0.17794148806046603
7.0,0.30181371768541987,0.13828363109856392,0.209572105957188,0.115400748409031,0.09066849799430006,0.23478597704154797
8.0,0.35034447980225253,0.2764038268972635,0.3165138100123886,0.029772173467915816,0.07250584181358737,0.28084949071777904
9.0,0.19624428466080973,0.3050369304897282,0.20929442108219265,0.097545785815984,0.7382132087230732,0.143928021160841
10.0,0.9725534848846407,0.23177291895179386,0.2992743692573231,0.048930639093332486,0.07390545502532156,0.12859057327633125
11.0,0.49975831017958317,0.05245513266181907,0.01891619963008385,0.39927897161095577,0.5839873296581016,0.06106421897346193
12.0,0.49512581774896264,0.451180869158689,0.5701947498023571,0.04459209091099475,0.08674956696808717,0.1606348686797591
13.0,0.3800709925845535,0.15795812524206695,0.029907703287121834,0.023696573286660944,0.3571936972251049,0.24723141877147894
14.0,0.18871224041466753,0.25787898833400175,0.2584153838657062,0.02187247742951178,0.0614274639988761,0.12622056916066188
15.0,0.205713978674996,0.23847543434323404,0.07027857737589985,0.07220174873713736,0.6775271329525467,0.23113822127247186
16.0,0.49322582231132106,0.49884907471096984,0.08913942027743861,0.020614326842916343,0.052478691573955974,0.2666139112816067
17.0,0.5902924897528993,0.34112089291436704,0.222657129429012,0.11691540271145726,0.32054017510759897,0.1701466516435743
18.0,0.17527914548164703,0.40271100040691,0.02443970714401851,0.043363735686232155,0.05978238815850237,0.1260770834479853
19.0,0.8233502753979981,0.08700018699951251,0.3546078547406109,0.10833686944672238,0.5424667574068556,0.06938915516746882
20.0,0.4225462666031621,0.23647789115328438,0.7650552370938822,0.035075549057686055,0.05994831066027476,0.18775316575560272
21.0,0.4785424330144169,0.5761366005686973,0.14976353835042652,0.1615847976139174,0.3344077429404706,0.09659524592948208
22.0,0.6300765481569497,0.10573388939359908,0.48922675624079764,0.09845745623027177,0.1085920449767498,0.11963303081533229
23.0,0.8481093846645305,0.27094710175112346,0.2077493608984288,0.07709995986473836,0.13442939135941012,0.003162277660168311
24.0,0.6860360971323238,0.5185494032087367,0.0892873154313653,0.06306609250548134,0.16993587069115695,0.1924309477960092
25.0,0.16385347333597577,0.3975479747013124,0.12164570287220307,0.060494068010903915,0.2769345401614557,0.3706962640884197
