,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std,LR04_age,SS_unitv,SS_dHolocene,SS_offset,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_culp
16,MD02-2588-16.5,0.165,0.165,2.983929205,0.720643413,,1.655088745,0.875937977,,0.0,0.0,21.6616,,7.2299999999999995,-0.046365840134440416,0.14868666666666286,21.6616,0.18734519999999522,0.026763599999999305,0.6911507723887832,0.19477953333332834
17,MD02-2588-17.5,0.175,0.175,3.010664564,0.696390845,,1.770711553,0.749023474,,0.0,0.0,22.2085,,7.550833333333332,0.2243708280229968,0.6955866666666637,22.2085,0.8764391999999962,0.12520559999999958,3.233344809644549,0.9112185333333295
18,MD02-2588-18.5,0.185,0.185,3.068369179,0.537063582,,1.920866005,0.748248424,,,,21.9885,,7.7924999999999995,0.11546231276492996,0.4755866666666613,21.9885,0.5992391999999932,0.08560559999999906,2.2107032148442682,0.6230185333333262
19,MD02-2588-19.5,0.195,0.195,3.003288985,0.552634683,,1.933281877,0.59595102,,,,23.6958,,8.034166666666668,0.9606418950380912,2.1828866666666613,23.6958,2.7504371999999933,0.39291959999999904,10.14686682758291,2.8595815333333263
20,MD02-2588-20.5,0.205,0.205,2.753002769,0.620600987,,1.807280176,0.712692987,,,,21.827,,8.275833333333333,0.03551356179139708,0.3140866666666646,21.827,0.3957491999999974,0.05653559999999963,1.4599913168431762,0.4114535333333307
21,MD02-2588-21.5,0.215,0.215,3.181661828,0.53378177,,2.483557204,0.865184153,,,,22.3642,,8.5175,0.30144835450336394,0.8512866666666632,22.3642,1.0726211999999957,0.15323159999999914,3.9570961565100116,1.115185533333329
22,MD02-2588-22.5,0.225,0.225,3.142028765,0.375683991,,2.078472516,0.6222726,,,,22.5034,,8.759166666666667,0.3703577423393758,0.9904866666666621,22.5034,1.2480131999999942,0.1782875999999991,4.60414938376545,1.2975375333333274
23,MD02-2588-23.5,0.235,0.235,3.14931154,0.449533205,,1.714018879,0.705995178,,,,19.6765,,9.075,-1.029067174856195,-1.8364133333333363,19.6765,-2.3138808000000037,-0.33055440000000047,-8.536330272329469,-2.4057014666666707
24,MD02-2588-24.5,0.245,0.245,3.240211816,0.583783641,,2.181502318,0.662120948,,,,22.1812,,9.465,0.21085627135688212,0.6682866666666634,22.1812,0.8420411999999958,0.12029159999999939,3.106444284471605,0.875455533333329
25,MD02-2588-25.5,0.255,0.255,3.247527105,0.408990886,,2.318533408,0.435752035,,0.0,0.0,21.8273,,9.855,0.035662073403112275,0.3143866666666639,21.8273,0.39612719999999657,0.05658959999999946,1.4613858281088097,0.41184653333332977
26,MD02-2588-26.5,0.265,0.265,3.373467387,0.421675341,,2.031951179,0.608937564,,,,21.4198,,10.245000000000001,-0.16606619917716958,-0.09311333333333849,21.4198,-0.1173228000000065,-0.016760400000000925,-0.43282530771442923,-0.12197846666667342
27,MD02-2588-27.5,0.275,0.275,3.318315237,0.486300799,,2.03253313,0.476765418,,,,22.4617,,10.635000000000002,0.3497146283109158,0.9487866666666633,22.4617,1.1954711999999958,0.1707815999999993,4.41031231784195,1.242910533333329
28,MD02-2588-28.5,0.285,0.285,,,,2.112939416,0.454381426,,,,23.0654,,11.024999999999999,0.6485694949531622,1.5524866666666632,23.0654,1.9561331999999958,0.279447599999999,7.2165338213916,2.033757533333329
29,MD02-2588-29.5,0.295,0.295,3.552437329,0.445673373,,2.241356691,0.415136764,,,,21.3819,,11.415,-0.18482816612389846,-0.13101333333333542,21.3819,-0.16507680000000263,-0.023582400000000364,-0.6089985642731888,-0.17162746666666942
30,MD02-2588-30.5,0.305,0.305,3.567550469,0.272469216,,2.381606979,0.523471411,,0.0,0.0,21.0313,,11.805,-0.35838873634879764,-0.48161333333333545,21.0313,-0.6068328000000026,-0.08669040000000039,-2.238717396713983,-0.6309134666666695
31,MD02-2588-31.5,0.315,0.315,3.6644357,0.255938321,,2.225537211,0.213119309,,,,21.3379,,12.195,-0.20660986917551183,-0.1750133333333359,21.3379,-0.22051680000000323,-0.031502400000000486,-0.8135268832332451,-0.22926746666667006
32,MD02-2588-32.5,0.325,0.325,3.373701245,0.472357847,,2.38403623,0.674812398,,0.0,0.0,23.6858,,12.584999999999999,0.9556915079809074,2.1728866666666633,23.6858,2.737837199999996,0.39111959999999923,10.100383118728363,2.846481533333329
33,MD02-2588-33.5,0.335,0.335,3.589963865,0.455028011,,2.329716312,0.252731693,,0.25446102,0.65089244,20.6217,,12.94875,-0.5611565902110877,-0.8912133333333365,20.6217,-1.122928800000004,-0.16041840000000063,-4.142690111396672,-1.1674894666666709
34,MD02-2588-34.5,0.345,0.345,3.577061032,0.520855655,,2.451221611,0.574310169,,0.487596757,1.247236387,22.7912,,13.286249999999999,0.5128298818451548,1.2782866666666628,22.7912,1.6106411999999952,0.23009159999999906,5.9419505245996245,1.6745555333333284
35,MD02-2588-35.5,0.355,0.355,3.710015649,0.367289736,,2.471615462,0.470757593,,0.0,0.0,21.9842,,13.62375,0.11333364633034194,0.4712866666666642,21.9842,0.5938211999999968,0.08483159999999956,2.1907152200368216,0.6173855333333301
36,MD02-2588-36.5,0.365,0.365,3.687514725,0.37620002,,2.383546817,0.471435896,,0.0,0.0,21.5093,,13.96125,-0.1217602350153651,-0.003613333333337465,21.5093,-0.004552800000005206,-0.000650400000000744,-0.016796113466132735,-0.004733466666672079
37,MD02-2588-37.5,0.375,0.375,3.725815779,0.369469446,,2.63720362,0.532881294,,,,19.0499,,14.29875,-1.3392584278593946,-2.463013333333336,19.0499,-3.1033968000000036,-0.44334240000000014,-11.448999469156057,-3.2265474666666707
38,MD02-2588-38.5,0.385,0.385,3.773616415,0.342909953,,2.338833551,0.469788589,,0.0,0.0,19.0928,,14.63625,-1.318021267384072,-2.4201133333333367,19.0928,-3.0493428000000042,-0.43562040000000035,-11.249584358170006,-3.1703484666666712
39,MD02-2588-39.5,0.395,0.395,4.024059089,0.174382481,,2.495487168,0.364270941,,0.0,0.0,19.7236,,14.97375,-1.0057508518168543,-1.789313333333336,19.7236,-2.254534800000003,-0.3220764000000007,-8.3173920036245,-2.34400046666667
40,MD02-2588-40.5,0.405,0.405,3.841380558,0.193108796,,2.358040498,0.648557566,,0.602848459,2.176203532,20.769,,15.311250000000001,-0.4882373888587566,-0.7439133333333388,20.769,-0.9373308000000068,-0.13390440000000103,-3.4579850799690477,-0.9745264666666739
41,MD02-2588-41.5,0.415,0.415,4.058016485,-0.009899527,,2.591929614,0.482137821,,0.458111436,2.808860812,20.2792,,15.55,-0.7307073469196677,-1.2337133333333377,20.2792,-1.5544788000000054,-0.22206840000000083,-5.73475713966528,-1.6161644666666724
42,MD02-2588-42.5,0.425,0.425,3.714405812,0.331789992,,2.70429903,0.602832838,,0.0,0.0,22.9508,,15.69,0.5918380592778247,1.4378866666666639,22.9508,1.8117371999999965,0.2588195999999994,6.683830517918371,1.8836315333333298
43,MD02-2588-43.5,0.435,0.435,4.249479316,0.253736403,,2.953458096,0.340699217,,0.35950209,2.204248253,22.6159,,15.83,0.42604959673270515,1.1029866666666628,22.6159,1.389763199999995,0.1985375999999992,5.127091108379227,1.4449125333333284
44,MD02-2588-44.5,0.445,0.445,4.026872531,0.253286621,,2.678291542,0.017402923,,0.0,0.0,22.225,,15.97,0.23253896666735202,0.7120866666666643,22.225,0.8972291999999971,0.1281755999999996,3.3100429292545726,0.9328335333333303
45,MD02-2588-45.5,0.455,0.455,4.203808445,-0.027657907,,2.665987229,0.539944479,,1.547189273,5.402177954,19.9937,,16.11,-0.8720408974022932,-1.5192133333333366,19.9937,-1.9142088000000042,-0.27345840000000066,-7.0618670274629,-1.9901694666666712
46,MD02-2588-46.5,0.465,0.465,4.373203217,-0.018262503,,2.747722277,0.128341172,,1.835830828,4.480838999,22.3066,,16.357,0.27293412505397907,0.7936866666666624,22.3066,1.0000451999999946,0.1428635999999992,3.6893499935077547,1.0397295333333278
47,MD02-2588-47.5,0.475,0.475,4.438379751,0.131342744,,2.610263124,0.424117287,,1.461034726,3.566048286,21.4979,,16.711,-0.12740367626055493,-0.015013333333335765,21.4979,-0.018916800000003064,-0.002702400000000438,-0.06978754156032065,-0.019667466666669853
48,MD02-2588-48.5,0.485,0.485,4.420027841,0.106634328,,2.587654078,0.272378466,,1.620690819,3.955731932,25.739,,17.064999999999998,1.972104978562091,4.226086666666664,25.739,5.324869199999997,0.7606955999999991,19.64441822074616,5.536173533333329
49,MD02-2588-49.5,0.495,0.495,4.546354172,-0.06982664,,2.763252274,0.605219291,,1.757634726,4.289980376,22.963,,17.419,0.5978775314875902,1.4500866666666639,22.963,1.8271091999999964,0.26101559999999924,6.740540642720931,1.8996135333333297
50,MD02-2588-50.5,0.505,0.505,4.464797668,-0.150490167,,2.676040209,0.428354139,,0.956937799,2.335664128,24.0439,,17.773,1.1329648684986953,2.5309866666666636,24.0439,3.189043199999996,0.45557759999999936,11.764964732810075,3.3155925333333296
