,Depth (mcd),Age (Hall 2001),LR04 Age (Elderfield 2012),SS_mean,SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_culp
0,0.04,0.00084,7.180981595092025,20.18,2.9117500000000014,3.959980000000002,0.5532325000000005,16.86187077439811,4.105567500000002
1,0.09,0.00189,8.08588957055215,20.747,3.4787500000000016,4.731100000000002,0.6609625000000001,20.14535346662228,4.9050375000000015
2,0.21,0.00441,10.2576687116564,13.721,-3.5472499999999982,-4.824259999999998,-0.6739774999999995,-20.542035238081443,-5.001622499999997
3,0.29,0.00609,11.7055214723926,14.425,-2.8432499999999976,-3.866819999999997,-0.5402174999999998,-16.465189002938907,-4.008982499999997
4,0.42,0.00882,14.058282208589002,14.944,-2.3242499999999975,-3.160979999999997,-0.4416074999999995,-13.459673099474456,-3.2771924999999964
5,0.49,0.01029,15.3251533742331,15.239,-2.0292499999999976,-2.759779999999997,-0.3855574999999991,-11.751335543555356,-2.8612424999999964
6,0.58,0.012116298811545,16.9539877300614,15.853,-1.4152499999999986,-1.9247399999999981,-0.26889749999999957,-8.195677037337303,-1.995502499999998
7,0.68,0.0141366723259762,18.763803680981596,16.402,-0.8662499999999973,-1.1780999999999964,-0.16458749999999944,-5.01643189089802,-1.221412499999996
8,0.78,0.0161570458404075,20.5736196319018,16.217,-1.0512499999999996,-1.4296999999999995,-0.1997374999999999,-6.087762222576113,-1.4822624999999994
9,0.9,0.018581494057725,22.7453987730061,17.914,0.6457500000000032,0.8782200000000043,0.12269250000000065,3.7395219550330996,0.9105075000000044
10,1.02,0.0210059422750424,24.917177914110404,16.771,-0.4972499999999975,-0.6762599999999966,-0.09447749999999955,-2.8795622023076892,-0.7011224999999964
11,1.09,0.0224202037351443,26.184049079754605,17.827,0.5587500000000034,0.7599000000000047,0.1061625000000006,3.235707150406112,0.7878375000000047
12,1.22,0.0250466893039049,28.5368098159509,18.268,0.9997500000000024,1.3596600000000032,0.1899525000000004,5.789527022136015,1.4096475000000033
13,1.28,0.0262589134125637,29.6226993865031,18.317,1.0487500000000018,1.4263000000000026,0.19926250000000034,6.073284785661557,1.4787375000000025
14,1.42,0.0290874363327674,32.15644171779141,17.9715,0.7032500000000006,0.9564200000000008,0.13361750000000006,4.072503004068164,0.9915825000000008
15,1.54,0.0315118845500849,34.32822085889569,17.626,0.3577500000000029,0.48654000000000397,0.06797250000000055,2.07172122247479,0.504427500000004
16,1.59,0.0325220713073005,35.233128834355796,16.173,-1.09525,-1.48954,-0.20809750000000005,-6.342565112272523,-1.5443025
17,1.7,0.0347444821731749,37.2239263803681,16.322,-0.9462499999999991,-1.2868999999999988,-0.1797875,-5.479709872164227,-1.3342124999999987
18,1.78,0.0363607809847199,38.67177914110431,17.018,-0.25024999999999764,-0.3403399999999968,-0.04754749999999952,-1.449191435148308,-0.3528524999999966
19,1.88,0.0383811544991511,40.4815950920245,17.968,0.6997500000000016,0.9516600000000023,0.13295250000000036,4.052234592387773,0.9866475000000022
20,1.98,0.0404015280135823,42.2914110429448,18.696,1.4277500000000032,1.9417400000000045,0.27127250000000047,8.268064221910173,2.0131275000000044
21,2.09,0.0426239388794567,44.282208588957104,17.314,0.045750000000001734,0.062220000000002364,0.008692500000000332,0.26493709553661626,0.06450750000000244
22,2.25,0.0458565365025467,47.1779141104294,17.325,0.056750000000000966,0.07718000000000132,0.01078250000000018,0.32863781796071384,0.08001750000000135
23,2.29,0.0466646859083192,47.9018404907975,16.652,-0.6162499999999973,-0.8380999999999964,-0.11708749999999946,-3.568688199441156,-0.8689124999999961
24,2.4,0.0488870967741936,49.8926380368098,17.338,0.06975000000000264,0.09486000000000361,0.013252500000000486,0.40392048991648055,0.09834750000000372
25,2.49,0.0507054329371817,51.521472392638,16.709,-0.5592499999999987,-0.7605799999999983,-0.10625749999999978,-3.2386026377889987,-0.7885424999999981
26,2.57,0.0523217317487267,52.96932515337419,14.712,-2.5562499999999986,-3.4764999999999984,-0.4856874999999996,-14.803179245146433,-3.6043124999999976
27,2.69,0.0547461799660441,55.141104294478495,17.032,-0.2362499999999983,-0.3212999999999977,-0.04488749999999969,-1.368117788426727,-0.3331124999999976
28,2.8,0.0569685908319185,57.1319018404908,15.662,-1.6062499999999975,-2.1844999999999968,-0.3051874999999993,-9.30175321761034,-2.2648124999999966
29,3.01,0.0612113752122241,60.9325153374233,16.556,-0.7122499999999974,-0.9686599999999965,-0.13532749999999938,-4.124621776960592,-1.0042724999999963
30,3.11,0.0632317487266554,62.7423312883436,15.944,-1.3242499999999975,-1.8009799999999967,-0.2516074999999993,-7.668698333646998,-1.8671924999999963
31,3.19,0.0648480475382003,64.1901840490798,15.321,-1.9472499999999986,-2.6482599999999983,-0.3699774999999996,-11.276475612757512,-2.745622499999998
32,3.29,0.0668684210526316,66.00000000000001,16.349,-0.9192499999999981,-1.2501799999999976,-0.17465749999999947,-5.32335355348688,-1.2961424999999973
33,3.38,0.0686867572156197,68.6619718309859,16.546,-0.722249999999999,-0.9822599999999987,-0.13722749999999972,-4.1825315246188755,-1.0183724999999983
