MIS,c18O,c13C,SS,SS_dp,AIS_db,gast,SST_1090,RSL,u1540,u1541,age_d18O,g_ig
40.0,3.9675106350479883,-0.15212178698463646,4.774971731015603,-2.5231181469656945,27.7,-4.323144709979521,7.82941548574052,-49.33800375601336,-2.74647287901579,-2.875392196730512,1295.2691666666667,G
41.0,3.0870900402405836,0.5402470510219697,-0.5649989918295052,0.4792161411858604,26.9,-0.3839955743789977,9.887790291648082,-12.943080161764835,-1.778249115525584,-1.1653559328327077,1312.2691666666667,IG
42.0,3.8955025751684262,-0.3103729147241203,3.023692034445954,-3.242255643813689,27.4,-2.986358949953807,8.754753472274368,-38.421314890685025,-2.791353727459897,-2.355272271369643,1332.2691666666667,G
43.0,2.746736029228987,0.7200532727401564,-1.752039713869366,0.050163674678529994,25.0,0.7023326524778626,11.48661337513665,4.996800449630926,-0.2610543398677485,0.4671004520770637,1353.2691666666667,IG
44.0,3.881200886034869,-0.13454465758999357,3.0640029826799418,-3.0158301489569976,27.3,-4.378683219353838,8.84558802309053,-42.769592732865206,-2.1062618020075297,-2.0937631001367207,1372.2691666666667,G
45.0,2.922936162725062,0.7285247359405451,0.3685138480636005,-2.951319403736334,26.5,-1.2284001938964042,11.172553180435818,-1.29357815503522,-0.8264281323825265,-0.8036190403563562,1393.2691666666667,IG
46.0,3.8107404116508095,-0.263407412814791,2.2914189443828543,-2.957147747972646,27.3,-2.906619685642583,7.772218536350176,-46.11922599523261,-1.4417155826451398,-1.56627589458877,1414.2691666666667,G
47.0,2.7922161301810617,0.6302219534004462,-1.4726151930752733,-2.9563059919645505,22.9,-0.2010940895697244,12.787129038623421,16.762925093762103,0.22128448738947218,0.7416370571576393,1438.2691666666667,IG
48.0,3.8486329520575104,-0.1549089757648586,2.3666236226717583,-2.956406234334983,27.2,-2.228332053357701,11.507808569174195,-50.67128163710049,-3.0702140466839256,-2.559987972636325,1460.2691666666667,G
49.0,2.8755348353110324,0.7844062979790211,-4.042799277724288,-2.956397499383465,22.76916668056676,0.6433693448830708,12.06697878009048,8.029369372191347,-1.1693134161262435,-0.8181691194537363,1480.2691666666667,IG
50.0,3.8208078015621356,0.24178648837935315,2.877464046706723,-2.9564001321657423,27.6,-1.799948952466605,10.07931693478166,-49.21901877093545,-2.7096057286854043,-2.468885057739859,1501.2691666666667,G
51.0,3.190842574068175,0.7226487333749587,-0.6096645353040903,-2.9563999638808665,27.1,-0.3127574800762865,11.80312588908641,-6.443071047877231,-1.3401226180018493,-1.3095616091179678,1520.2691666666667,IG
52.0,4.1046342185734215,-0.02881481073630099,2.3011976622798467,-2.9564000082656525,28.0,-3.528514753702554,10.568757836410823,-55.180437402483705,-2.982429362384805,-2.6310660510715516,1539.2691666666667,G
53.0,3.1795008002822636,0.7578919861133862,-1.322970550331136,-2.956399998887327,26.4,0.09860559954866402,13.05108492290075,-15.116352184927752,-1.7457091417038975,-1.7402154500986498,1559.2691666666667,IG
54.0,3.8927526665578194,0.2738529925799482,1.9715154030401107,-2.9564000001649413,27.3,-2.737807055635442,9.842440833240762,-42.10916735205808,-2.3219284162478817,-2.250679504275516,1577.2691666666667,G
55.0,3.1173740995894055,0.8569027084333471,-0.9382201115038209,-2.956399999972989,26.6,-0.00873655790437404,13.284653273238527,-14.423816168131095,-1.482777449471268,-1.5558277154881677,1596.2691666666667,IG
56.0,3.4329828857530784,0.2985281444366693,4.286717703636285,-2.95640000000381,27.0,-1.4969518548654284,11.17081260262335,-35.70568858004932,-1.6288526355283197,-1.7110631803784582,1618.2691666666667,G
57.0,3.031167159114889,0.6391375256380979,1.0556064753778975,-2.956399999999508,26.7,0.20939932003756775,13.736556456790211,-14.61514693619131,-1.2043902111958975,-1.4097584960699938,1635.2691666666667,IG
58.0,3.9078042835529487,0.11211294048552857,2.177241279134075,-2.9564000000002024,27.5,-3.0613941971920586,9.833107179158361,-52.09063052883962,-2.6746351794386376,-2.0061660805718997,1656.2691666666667,G
59.0,3.1217166142391557,0.5878968852878149,1.2350880780719624,-2.9563999999999777,26.9,0.24637782522998267,13.510759746934122,-5.678759145755913,-1.7385344547067862,-1.3186060005190077,1684.2691666666667,IG
60.0,3.648395081227225,-0.2511818057726614,2.0359586838444796,-2.956400000000037,27.2,-2.24991477511443,8.430548789866757,-42.318595006620704,-2.950115758703975,-2.531910538801355,1706.2691666666667,G
61.0,3.266022762965396,0.26142294534459243,-5.025506104905004,-2.9563999999999746,23.9,-0.11704285287193954,12.310843822036711,-12.938306196573047,-1.7614796539301374,-1.113701279830346,1728.2691666666667,IG
62.0,3.624819850150472,-0.032508940315105275,1.6568691361955887,-2.9564000000000252,26.8,-1.4592488857242327,11.966340719110136,-39.07428593614984,-2.7841774128253345,-2.4434540263589386,1750.2691666666667,G
63.0,2.960916639324081,0.7555160641053127,-1.2947892164043937,-2.956399999999972,24.4,1.8661936674123654,13.983306405424557,-2.258284265835372,-1.8759628491372213,-1.5084900094771523,1770.2691666666667,IG
64.0,3.8268242607527463,-0.19846396307779884,3.297894663331791,-2.9564000000000283,27.2,-1.1768101925501517,10.702160802292356,-40.591355911872434,-3.2810699948640307,-2.7946691748637758,1792.2691666666665,G
65.0,3.1878180498642226,0.2510238821081855,-0.7992379959678473,-2.9563999999999844,24.5,0.5127096817060277,13.202871237360275,-11.790705346058274,-1.5211540555279237,-1.0811365534392254,1809.2691666666667,IG
66.0,3.3209945797216065,0.2106317633648497,-0.8352888707816205,-2.956400000000016,26.5,0.01455202533817255,11.226259257643965,-36.1573835921149,-1.718079215433725,-1.3611729375618404,1821.2691666666665,G
67.0,3.011931651120694,0.513811242926069,-2.6751631318532936,-2.9563999999999875,25.7,0.42433203363065036,11.67796514104894,5.526525301542232,-0.9918305062495468,-0.6349360257830176,1829.2691666666667,IG
68.0,3.3008544526775423,0.32263855472804,-0.02203347026241925,-2.9564000000000097,26.6,-0.24538735065185469,10.436225814262178,-25.378265118773218,-2.6861409219568455,-1.6640849867290848,1840.2691666666667,G
69.0,3.0483091500724298,0.5320675329851514,-2.3357876713019756,-2.9563999999999933,25.1,1.0755090078343144,12.713911955320393,-3.723111562458354,-1.64159065143922,-1.0477149724451256,1854.2691666666667,IG
