,Depth [m],Age [ka BP],Revised Age (Starr),SS avg [µm],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
81,0.5650000000000001,32.67,31.412093023255814,23.34,-2.580000000000002,-3.5088000000000026,-0.4902000000000002,-1.9608000000000014,-9.953703703703711,-3.6378000000000026
82,0.5700000000000001,32.92,31.656279069767443,23.13,-2.7900000000000027,-3.794400000000004,-0.5301,-2.1204000000000023,-10.7638888888889,-3.9339000000000035
83,0.5750000000000001,33.16,31.90046511627907,23.22,-2.700000000000003,-3.672000000000004,-0.5130000000000008,-2.0520000000000023,-10.416666666666679,-3.807000000000004
84,0.58,33.4,32.144651162790694,23.14,-2.780000000000001,-3.780800000000002,-0.5282,-2.112800000000001,-10.725308641975314,-3.9198000000000013
85,0.585,33.65,32.388837209302324,23.14,-2.780000000000001,-3.780800000000002,-0.5282,-2.112800000000001,-10.725308641975314,-3.9198000000000013
86,0.59,33.89,32.63302325581395,22.9,-3.020000000000003,-4.107200000000004,-0.5738000000000012,-2.2952000000000026,-11.651234567901248,-4.258200000000004
87,0.595,34.14,32.877209302325575,22.95,-2.9700000000000024,-4.039200000000004,-0.5643000000000002,-2.257200000000002,-11.458333333333343,-4.187700000000003
88,0.6,34.38,33.121395348837204,22.78,-3.1400000000000006,-4.270400000000001,-0.5965999999999996,-2.3864000000000005,-12.1141975308642,-4.4274000000000004
89,0.605,34.62,33.36558139534883,22.61,-3.3100000000000023,-4.501600000000003,-0.6289000000000007,-2.515600000000002,-12.77006172839507,-4.667100000000003
90,0.61,34.87,33.609767441860456,22.6,-3.3200000000000003,-4.515200000000001,-0.6307999999999998,-2.5232,-12.80864197530864,-4.6812000000000005
91,0.615,35.11,33.853953488372085,22.73,-3.1900000000000013,-4.338400000000002,-0.6061000000000005,-2.424400000000001,-12.307098765432105,-4.497900000000001
92,0.62,35.35,34.098139534883714,22.88,-3.0400000000000027,-4.134400000000004,-0.5776000000000003,-2.3104000000000022,-11.728395061728406,-4.286400000000004
93,0.625,35.6,34.34232558139534,23.24,-2.6800000000000033,-3.644800000000005,-0.5092000000000003,-2.0368000000000026,-10.339506172839519,-3.7788000000000044
94,0.63,35.84,34.58651162790697,23.38,-2.5400000000000027,-3.454400000000004,-0.48260000000000014,-1.9304000000000021,-9.799382716049394,-3.5814000000000035
95,0.635,36.09,34.8306976744186,23.41,-2.5100000000000016,-3.4136000000000024,-0.4769000000000001,-1.9076000000000013,-9.683641975308648,-3.539100000000002
96,0.64,36.33,35.07488372093023,23.33,-2.5900000000000034,-3.522400000000005,-0.4921000000000002,-1.9684000000000026,-9.992283950617296,-3.651900000000005
97,0.645,36.57,35.31906976744186,23.24,-2.6800000000000033,-3.644800000000005,-0.5092000000000003,-2.0368000000000026,-10.339506172839519,-3.7788000000000044
98,0.65,36.82,35.56325581395349,22.66,-3.2600000000000016,-4.433600000000003,-0.6193999999999997,-2.477600000000001,-12.577160493827167,-4.596600000000002
99,0.655,37.06,35.80744186046512,22.5,-3.4200000000000017,-4.651200000000003,-0.6497999999999999,-2.5992000000000015,-13.19444444444445,-4.822200000000002
100,0.66,37.3,36.05162790697674,22.53,-3.3900000000000006,-4.610400000000001,-0.6440999999999999,-2.5764000000000005,-13.078703703703706,-4.7799000000000005
101,0.665,37.55,36.29581395348837,22.72,-3.200000000000003,-4.352000000000004,-0.6080000000000005,-2.432000000000002,-12.34567901234569,-4.512000000000004
102,0.67,37.79,36.54,22.72,-3.200000000000003,-4.352000000000004,-0.6080000000000005,-2.432000000000002,-12.34567901234569,-4.512000000000004
103,0.675,38.04,36.78418604651163,22.91,-3.0100000000000016,-4.093600000000002,-0.5719000000000003,-2.287600000000001,-11.61265432098766,-4.244100000000002
104,0.68,38.28,37.02837209302325,23.13,-2.7900000000000027,-3.794400000000004,-0.5301,-2.1204000000000023,-10.7638888888889,-3.9339000000000035
105,0.685,38.52,37.27255813953488,23.29,-2.6300000000000026,-3.5768000000000035,-0.49970000000000026,-1.998800000000002,-10.146604938271613,-3.7083000000000035
106,0.69,38.77,37.5167441860465,23.17,-2.75,-3.74,-0.5225,-2.09,-10.609567901234566,-3.8775
107,0.6950000000000001,39.01,37.76093023255814,23.21,-2.710000000000001,-3.6856000000000013,-0.5149000000000004,-2.0596000000000005,-10.455246913580249,-3.821100000000001
108,0.7,39.25,38.00511627906976,23.17,-2.75,-3.74,-0.5225,-2.09,-10.609567901234566,-3.8775
109,0.705,39.5,38.24930232558139,22.97,-2.950000000000003,-4.012000000000004,-0.5605000000000002,-2.242000000000002,-11.381172839506183,-4.159500000000004
110,0.71,39.74,38.49348837209302,22.97,-2.950000000000003,-4.012000000000004,-0.5605000000000002,-2.242000000000002,-11.381172839506183,-4.159500000000004
111,0.715,39.98,38.73767441860465,23.26,-2.66,-3.6176000000000004,-0.5053999999999998,-2.0216000000000003,-10.262345679012347,-3.7506
112,0.72,40.23,38.98186046511627,23.3,-2.620000000000001,-3.5632000000000015,-0.49780000000000024,-1.9912000000000007,-10.108024691358027,-3.6942000000000013
113,0.725,40.47,39.2260465116279,23.26,-2.66,-3.6176000000000004,-0.5053999999999998,-2.0216000000000003,-10.262345679012347,-3.7506
114,0.73,40.72,39.47023255813953,23.45,-2.4700000000000024,-3.3592000000000035,-0.4693000000000005,-1.8772000000000018,-9.52932098765433,-3.482700000000003
115,0.735,40.96,39.71441860465116,23.25,-2.6700000000000017,-3.6312000000000024,-0.5073000000000008,-2.0292000000000012,-10.300925925925931,-3.764700000000002
116,0.74,41.2,39.95860465116279,22.94,-2.9800000000000004,-4.052800000000001,-0.5661999999999994,-2.2648,-11.496913580246913,-4.2018
117,0.745,41.45,40.202790697674416,23.11,-2.8100000000000023,-3.821600000000003,-0.5339000000000005,-2.135600000000002,-10.841049382716058,-3.962100000000003
118,0.75,41.69,40.446976744186045,23.39,-2.530000000000001,-3.4408000000000016,-0.4807000000000001,-1.922800000000001,-9.760802469135808,-3.5673000000000012
119,0.755,41.93,40.69116279069767,23.58,-2.3400000000000034,-3.182400000000005,-0.4446000000000008,-1.7784000000000026,-9.02777777777779,-3.2994000000000048
120,0.76,42.18,40.9353488372093,23.72,-2.200000000000003,-2.992000000000004,-0.4180000000000006,-1.6720000000000022,-8.487654320987664,-3.102000000000004
121,0.765,42.42,41.179534883720926,23.8,-2.120000000000001,-2.8832000000000018,-0.40280000000000005,-1.6112000000000009,-8.179012345679016,-2.989200000000001
122,0.77,42.67,41.423720930232555,23.67,-2.25,-3.06,-0.4275000000000002,-1.71,-8.680555555555555,-3.1725
123,0.775,42.91,41.667906976744185,23.62,-2.3000000000000007,-3.128000000000001,-0.4370000000000003,-1.7480000000000007,-8.873456790123461,-3.2430000000000008
