,Age [ka BP],ln(Zr/Rb),SS [um],ACC strength [m/s],ACC strength [%],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
0,0.5,1.6705,16.8521,7.834,96.123,-0.12610434782608948,-0.1715019130434817,-0.023959826086957015,-0.7427425494630475,-0.095839304347828,-0.7427425494630475,-0.17780713043478616
1,1.0,1.6705,16.8521,7.834,96.123,-0.12610434782608948,-0.1715019130434817,-0.023959826086957015,-0.7427425494630475,-0.095839304347828,-0.7427425494630475,-0.17780713043478616
2,1.5,1.6705,16.8521,7.834,96.123,-0.12610434782608948,-0.1715019130434817,-0.023959826086957015,-0.7427425494630475,-0.095839304347828,-0.7427425494630475,-0.17780713043478616
3,2.0,1.6705,16.8521,7.834,96.123,-0.12610434782608948,-0.1715019130434817,-0.023959826086957015,-0.7427425494630475,-0.095839304347828,-0.7427425494630475,-0.17780713043478616
4,2.5,1.6705,16.8521,7.834,96.123,-0.12610434782608948,-0.1715019130434817,-0.023959826086957015,-0.7427425494630475,-0.095839304347828,-0.7427425494630475,-0.17780713043478616
5,3.0,1.6505,16.8039,7.7523,95.121,-0.17430434782609083,-0.23705391304348356,-0.033117826086957236,-1.026635940145278,-0.13247130434782903,-1.0266359401452778,-0.24576913043478807
6,3.5,1.654,16.8123,7.7666,95.296,-0.1659043478260891,-0.22562991304348118,-0.03152182608695692,-0.9771607434288638,-0.12608730434782772,-0.9771607434288638,-0.2339251304347856
7,4.0,1.7104,16.948,7.9966,98.118,-0.030204347826089162,-0.04107791304348126,-0.005738826086956944,-0.17790072028410095,-0.022955304347827762,-0.17790072028410095,-0.042588130434785716
8,4.5,1.7302,16.9958,8.0776,99.112,0.01759565217390957,0.023930086956517018,0.0033431739130428163,0.10363670864971383,0.013372695652171274,0.10363670864971383,0.024809869565212493
9,5.0,1.7323,17.0008,8.0861,99.216,0.02259565217391213,0.0307300869565205,0.004293173913043305,0.13308623050473123,0.017172695652173216,0.1330862305047312,0.0318598695652161
10,5.5,1.7526,17.0497,8.169,100.233,0.07149565217391185,0.09723408695652012,0.013584173913043243,0.42110255424665244,0.05433669565217301,0.4211025542466523,0.1008088695652157
11,6.0,1.7841,17.1256,8.2976,101.811,0.14739565217390904,0.20045808695651632,0.02800517391304269,0.8681462960055712,0.11202069565217088,0.8681462960055711,0.20782786956521174
12,6.5,1.8067,17.1799,8.3896,102.94,0.2016956521739104,0.27430608695651815,0.03832217391304299,1.1879681033509044,0.1532886956521719,1.1879681033509044,0.28439086956521364
13,7.0,1.8372,17.2534,8.5142,104.468,0.2751956521739096,0.3742660869565171,0.05228717391304283,1.6208760746194342,0.2091486956521713,1.6208760746194342,0.38802586956521257
14,7.5,1.8877,17.3751,8.7204,106.999,0.3968956521739102,0.539778086956518,0.07541017391304283,2.3376774365701944,0.3016406956521718,2.3376774365701944,0.5596228695652133
15,8.0,1.9052,17.4171,8.7916,107.873,0.4388956521739118,0.5968980869565201,0.08339017391304315,2.5850534201522235,0.33356069565217294,2.585053420152223,0.6188428695652156
16,8.5,1.8454,17.2731,8.5476,104.879,0.2948956521739099,0.4010580869565175,0.056030173913042824,1.736907190728145,0.22412069565217152,1.7369071907281448,0.41580286956521295
17,9.0,1.8023,17.1695,8.372,102.724,0.19129565217390976,0.26016208695651727,0.036346173913042845,1.1267130978924957,0.1453846956521714,1.1267130978924957,0.26972686956521275
18,9.5,1.7771,17.1088,8.2691,101.461,0.13059565217390912,0.17761008695651642,0.02481317391304272,0.7691959025727638,0.09925269565217093,0.7691959025727638,0.18413986956521183
19,10.0,1.7134,16.9553,8.009,98.27,-0.02290434782608841,-0.03114991304348024,-0.004351826086956799,-0.13490441837579317,-0.017407304347827193,-0.13490441837579314,-0.03229513043478466
20,10.5,1.6387,16.7755,7.7043,94.531,-0.2027043478260886,-0.2756779130434805,-0.03851382608695686,-1.1939092242816778,-0.15405530434782733,-1.1939092242816778,-0.2858131304347849
