Sample ID,Depth (m),SS mean
MD02-2588-160.5,160.5,24.2463
MD02-2588-161.5,161.5,24.177
MD02-2588-162.5,162.5,28.8098
MD02-2588-163.5,163.5,25.3236
MD02-2588-164.5,164.5,27.975
MD02-2588-165.5,165.5,23.5926
MD02-2588-166.5,166.5,28.3212
MD02-2588-167.5,167.5,29.658
MD02-2588-168.5,168.5,22.4274
MD02-2588-169.5,169.5,27.8978
MD02-2588-170.5,170.5,22.8915
MD02-2588-171.5,171.5,24.9756
MD02-2588-172.5,172.5,25.6368
MD02-2588-173.5,173.5,28.7926
MD02-2588-174.5,174.5,26.6722
MD02-2588-175.5,175.5,27.3833
MD02-2588-176.5,176.5,27.5705
MD02-2588-177.5,177.5,27.4402
MD02-2588-178.5,178.5,24.7087
MD02-2588-179.5,179.5,28.5611
MD02-2588-180.5,180.5,25.1812
MD02-2588-181.5,181.5,26.9491
MD02-2588-182.5,182.5,26.1682
MD02-2588-183.5,183.5,29.869
MD02-2588-184.5,184.5,25.8471
MD02-2588-185.5,185.5,25.7522
MD02-2588-186.5,186.5,21.3025
MD02-2588-187.5,187.5,22.7724
MD02-2588-188.5,188.5,22.3909
MD02-2588-189.5,189.5,26.4348
MD02-2588-190.5,190.5,29.4831
MD02-2588-191.5,191.5,26.5485
MD02-2588-192.5,192.5,26.0536
MD02-2588-193.5,193.5,22.9324
MD02-2588-194.5,194.5,25.3166
MD02-2588-195.5,195.5,22.6518
MD02-2588-196.5,196.5,23.5309
MD02-2588-197.5,197.5,23.1784
MD02-2588-198.5,198.5,22.39
MD02-2588-199.5,199.5,24.0355
MD02-2588-200.5,200.5,22.987
MD02-2588-201.5,201.5,21.9163
MD02-2588-202.5,202.5,24.322
MD02-2588-203.5,203.5,23.6852
MD02-2588-204.5,204.5,21.6081
MD02-2588-205.5,205.5,20.2796
MD02-2588-206.5,206.5,22.9296
MD02-2588-207.5,207.5,23.9259
MD02-2588-208.5,208.5,20.6385
MD02-2588-209.5,209.5,21.6868
MD02-2588-210.5,210.5,22.9119
MD02-2588-211.5,211.5,
MD02-2588-212.5,212.5,19.697
MD02-2588-213.5,213.5,19.4627
MD02-2588-214.5,214.5,19.9336
MD02-2588-215.5,215.5,21.4032
MD02-2588-216.5,216.5,21.5529
MD02-2588-217.5,217.5,20.83
MD02-2588-218.5,218.5,22.2659
MD02-2588-219.5,219.5,21.7853
MD02-2588-220.5,220.5,20.2077
MD02-2588-221.5,221.5,20.7815
MD02-2588-222.5,222.5,19.6019
MD02-2588-223.5,223.5,21.2704
MD02-2588-224.5,224.5,21.041
MD02-2588-225.5,225.5,24.46
MD02-2588-226.5,226.5,22.1314
MD02-2588-227.5,227.5,22.8687
MD02-2588-228.5,228.5,21.7975
MD02-2588-229.5,229.5,24.2572
MD02-2588-230.5,230.5,21.531
MD02-2588-231.5,231.5,21.483
MD02-2588-232.5,232.5,23.4535
MD02-2588-233.5,233.5,21.9018
MD02-2588-234.5,234.5,21.034
MD02-2588-235.5,235.5,21.521
MD02-2588-236.5,236.5,24.92
MD02-2588-237.5,237.5,22.3122
MD02-2588-238.5,238.5,22.6409
MD02-2588-239.5,239.5,23.1931
MD02-2588-240.5,240.5,23.3416
MD02-2588-241.5,241.5,23.2127
MD02-2588-242.5,242.5,22.9966
MD02-2588-243.5,243.5,20.0838
MD02-2588-244.5,244.5,20.826
MD02-2588-245.5,245.5,23.056
MD02-2588-246.5,246.5,22.8687
MD02-2588-247.5,247.5,20.6474
MD02-2588-248.5,248.5,22.6479
MD02-2588-249.5,249.5,22.4524
MD02-2588-250.5,250.5,21.6131
MD02-2588-251.5,251.5,24.099
MD02-2588-252.5,252.5,21.6932
MD02-2588-253.5,253.5,20.069
MD02-2588-254.5,254.5,20.6906
MD02-2588-255.5,255.5,21.0529
MD02-2588-256.5,256.5,22.7873
MD02-2588-257.5,257.5,20.5344
MD02-2588-258.5,258.5,21.2739
MD02-2588-259.5,259.5,21.0287
MD02-2588-260.5,260.5,20.4492
MD02-2588-261.5,261.5,19.8977
MD02-2588-262.5,262.5,21.6747
MD02-2588-263.5,263.5,20.0378
MD02-2588-264.5,264.5,21.223
MD02-2588-265.5,265.5,21.2752
MD02-2588-266.5,266.5,19.6037
MD02-2588-267.5,267.5,20.4432
MD02-2588-268.5,268.5,18.8265
MD02-2588-269.5,269.5,18.1694
MD02-2588-270.5,270.5,21.8315
MD02-2588-271.5,271.5,20.0344
MD02-2588-272.5,272.5,20.6747
MD02-2588-273.5,273.5,18.8483
MD02-2588-274.5,274.5,20.424
MD02-2588-275.5,275.5,19.0855
MD02-2588-276.5,276.5,18.7452
MD02-2588-277.5,277.5,20.0815
