Sample ID,Depth (m),SS mean
MD02-2588-699.5,699.5,20.3736
MD02-2588-700.5,700.5,18.8329
MD02-2588-701.5,701.5,20.0162
MD02-2588-702.5,702.5,20.5999
MD02-2588-703.5,703.5,20.8705
MD02-2588-704.5,704.5,21.8862
MD02-2588-705.5,705.5,21.16
MD02-2588-706.5,706.5,21.4614
MD02-2588-706.5,706.5,20.4492
MD02-2588-707.5,707.5,21.6228
MD02-2588-708.5,708.5,21.5622
MD02-2588-709.5,709.5,20.4002
MD02-2588-710.5,710.5,21.2993
MD02-2588-711.5,711.5,21.4266
MD02-2588-712.5,712.5,20.323
MD02-2588-713.5,713.5,20.2978
MD02-2588-714.5,714.5,23.3923
MD02-2588-715.5,715.5,21.3152
MD02-2588-717.5,717.5,20.5173
MD02-2588-718.5,718.5,20.2405
MD02-2588-719.5,719.5,22.7478
MD02-2588-720.5,720.5,22.4154
MD02-2588-721.5,721.5,21.261
MD02-2588-722.5,722.5,22.0205
MD02-2588-723.5,723.5,21.9284
MD02-2588-724.5,724.5,20.8912
MD02-2588-725.5,725.5,21.1926
MD02-2588-726.5,726.5,21.5879
MD02-2588-727.5,727.5,22.2563
MD02-2588-728.5,728.5,21.1826
MD02-2588-729.5,729.5,20.4548
MD02-2588-730.5,730.5,20.2434
MD02-2588-731.5,731.5,21.6046
MD02-2588-732.5,732.5,21.8388
MD02-2588-733.5,733.5,21.1675
MD02-2588-734.5,734.5,22.8546
MD02-2588-735.5,735.5,20.1118
MD02-2588-736.5,736.5,20.1192
MD02-2588-737.5,737.5,20.3221
MD02-2588-738.5,738.5,19.9646
MD02-2588-739.5,739.5,20.2426
MD02-2588-740.5,740.5,22.3758
MD02-2588-741.5,741.5,22.5417
MD02-2588-742.5,742.5,21.6388
MD02-2588-743.5,743.5,20.6945
MD02-2588-744.5,744.5,21.7601
MD02-2588-745.5,745.5,21.2629
MD02-2588-746.5,746.5,21.1226
MD02-2588-747.5,747.5,20.124
MD02-2588-748.5,748.5,20.0368
MD02-2588-749.5,749.5,21.7493
MD02-2588-750.5,750.5,21.048
MD02-2588-751.5,751.5,22.9863
MD02-2588-752.5,752.5,22.3094
MD02-2588-753.5,753.5,23.5859
MD02-2588-754.5,754.5,20.6324
MD02-2588-755.5,755.5,23.3971
MD02-2588-756.5,756.5,21.503
MD02-2588-757.5,757.5,21.7179
MD02-2588-758.5,758.5,20.9331
MD02-2588-759.5,759.5,20.4404
MD02-2588-760.5,760.5,21.9768
MD02-2588-761.5,761.5,20.9863
MD02-2588-762.5,762.5,21.8469
MD02-2588-763.5,763.5,21.0834
MD02-2588-764.5,764.5,20.3926
MD02-2588-765.5,765.5,22.8779
MD02-2588-766.5,766.5,20.7577
MD02-2588-767.5,767.5,21.7092
MD02-2588-768.5,768.5,20.2747
MD02-2588-769.5,769.5,20.1943
MD02-2588-770.5,770.5,20.9156
MD02-2588-771.5,771.5,20.0482
MD02-2588-772.5,772.5,18.5869
MD02-2588-773.5,773.5,20.9639
MD02-2588-774.5,774.5,19.1005
MD02-2588-775.5,775.5,21.9175
MD02-2588-776.5,776.5,15.7361
MD02-2588-777.5,777.5,18.419
MD02-2588-778.5,778.5,19.8609
MD02-2588-779.5,779.5,19.6117
MD02-2588-780.5,780.5,21.5467
MD02-2588-781.5,781.5,19.7284
MD02-2588-782.5,782.5,19.9917
MD02-2588-783.5,783.5,19.07
MD02-2588-784.5,784.5,17.9878
MD02-2588-785.5,785.5,20.4924
MD02-2588-786.5,786.5,20.1209
MD02-2588-787.5,787.5,20.326
MD02-2588-788.5,788.5,20.1953
MD02-2588-789.5,789.5,21.0572
MD02-2588-790.5,790.5,19.8867
MD02-2588-791.5,791.5,20.0337
MD02-2588-792.5,792.5,20.1981
MD02-2588-793.5,793.5,20.1125
MD02-2588-794.5,794.5,20.5018
MD02-2588-795.5,795.5,21.2013
MD02-2588-796.5,796.5,20.9445
MD02-2588-797.5,797.5,20.3128
MD02-2588-798.5,798.5,20.6338
MD02-2588-799.5,799.5,20.8423
MD02-2588-800.5,800.5,20.4659
MD02-2588-801.5,801.5,20.9447
MD02-2588-802.5,802.5,21.4735
MD02-2588-803.5,803.5,21.4803
MD02-2588-804.5,804.5,20.8758
MD02-2588-805.5,805.5,19.4895
MD02-2588-806.5,806.5,20.3944
MD02-2588-807.5,807.5,20.8227
MD02-2588-808.5,808.5,19.858
MD02-2588-809.5,809.5,20.8833
MD02-2588-810.5,810.5,21.5357
MD02-2588-811.5,811.5,20.155
MD02-2588-812.5,812.5,20.7615
MD02-2588-813.5,813.5,20.756
MD02-2588-814.5,814.5,20.1274
MD02-2588-815.5,815.5,19.6104
MD02-2588-816.5,816.5,20.3886
MD02-2588-817.5,817.5,18.998
MD02-2588-818.5,818.5,19.1663
MD02-2588-819.5,819.5,19.9906
MD02-2588-820.5,820.5,18.3618
MD02-2588-821.5,821.5,20.377
MD02-2588-822.5,822.5,20.7035
MD02-2588-823.5,823.5,20.0221
MD02-2588-824.5,824.5,19.6723
MD02-2588-825.5,825.5,19.4335
MD02-2588-826.5,826.5,20.8272
MD02-2588-827.5,827.5,20.5568
MD02-2588-828.5,828.5,20.6167
MD02-2588-829.5,829.5,20.1535
MD02-2588-830.5,830.5,19.41
MD02-2588-831.5,831.5,18.5459
MD02-2588-832.5,832.5,17.4567
MD02-2588-833.5,833.5,20.1036
MD02-2588-834.5,834.5,20.2694
MD02-2588-835.5,835.5,17.9648
MD02-2588-836.5,836.5,20.7472
MD02-2588-837.5,837.5,20.9401
MD02-2588-838.5,838.5,20.7497
MD02-2588-839.5,839.5,21.6422
MD02-2588-840.5,840.5,20.2876
MD02-2588-841.5,841.5,20.414
MD02-2588-842.5,842.5,21.3754
MD02-2588-843.5,843.5,19.6831
MD02-2588-844.5,844.5,22.0625
MD02-2588-845.5,845.5,
MD02-2588-846.5,846.5,20.346
MD02-2588-847.5,847.5,19.4523
MD02-2588-848.5,848.5,19.3802
MD02-2588-849.5,849.5,20.9667
MD02-2588-850.5,850.5,18.4392
MD02-2588-851.5,851.5,21.2486
MD02-2588-852.5,852.5,20.9625
MD02-2588-853.5,853.5,21.3182
MD02-2588-854.5,854.5,20.7187
MD02-2588-855.5,855.5,19.933
MD02-2588-857.5,857.5,21.119
MD02-2588-858.5,858.5,19.8074
MD02-2588-859.5,859.5,19.405
MD02-2588-859.5,859.5,21.0611
MD02-2588-860.5,860.5,21.1852
MD02-2588-861.5,861.5,21.1528
MD02-2588-862.5,862.5,21.0521
MD02-2588-863.5,863.5,19.7154
MD02-2588-864.5,864.5,21.9034
MD02-2588-865.5,865.5,20.9321
MD02-2588-866.5,866.5,20.4651
MD02-2588-867.5,867.5,19.91
MD02-2588-868.5,868.5,20.2653
MD02-2588-869.5,869.5,19.4462
MD02-2588-870.5,870.5,20.0982
MD02-2588-871.5,871.5,19.4881
MD02-2588-872.5,872.5,19.5127
MD02-2588-873.5,873.5,19.9732
MD02-2588-874.5,874.5,21.0954
MD02-2588-875.5,875.5,20.1551
MD02-2588-876.5,876.5,19.9897
MD02-2588-877.5,877.5,20.384
MD02-2588-878.5,878.5,20.8365
MD02-2588-879.5,879.5,21.0785
MD02-2588-880.5,880.5,19.579
MD02-2588-881.5,881.5,21.3022
MD02-2588-882.5,882.5,20.9474
MD02-2588-883.5,883.5,20.6111
MD02-2588-884.5,884.5,21.0262
MD02-2588-885.5,885.5,19.863
MD02-2588-886.5,886.5,21.1841
MD02-2588-887.5,887.5,20.2941
MD02-2588-888.5,888.5,19.1992
MD02-2588-889.5,889.5,20.4766
MD02-2588-890.5,890.5,20.202
MD02-2588-891.5,891.5,20.2905
MD02-2588-892.5,892.5,21.0037
MD02-2588-893.5,893.5,20.0138
MD02-2588-894.5,894.5,20.3539
MD02-2588-895.5,895.5,19.966
MD02-2588-896.5,896.5,20.5856
MD02-2588-897.5,897.5,21.1374
MD02-2588-898.5,898.5,19.9475
MD02-2588-899.5,899.5,19.8966
MD02-2588-900.5,900.5,22.2677
MD02-2588-901.5,901.5,19.8408
MD02-2588-902.5,902.5,20.7092
MD02-2588-903.5,903.5,20.3312
MD02-2588-904.5,904.5,20.0936
MD02-2588-905.5,905.5,20.2436
MD02-2588-906.5,906.5,19.7926
MD02-2588-907.5,907.5,20.5287
MD02-2588-908.5,908.5,21.2222
MD02-2588-909.5,909.5,21.4828
MD02-2588-910.5,910.5,20.1508
MD02-2588-911.5,911.5,20.7083
MD02-2588-912.5,912.5,20.8112
MD02-2588-913.5,913.5,20.607
MD02-2588-914.5,914.5,19.264
MD02-2588-915.5,915.5,17.356
MD02-2588-916.5,916.5,17.9104
MD02-2588-917.5,917.5,19.2827
MD02-2588-918.5,918.5,20.9571
MD02-2588-919.5,919.5,18.522
MD02-2588-920.5,920.5,17.8593
MD02-2588-921.5,921.5,20.8189
MD02-2588-922.5,922.5,21.4308
MD02-2588-923.5,923.5,21.5467
MD02-2588-924.5,924.5,21.7926
MD02-2588-925.5,925.5,22.2272
MD02-2588-926.5,926.5,21.86
MD02-2588-927.5,927.5,20.9363
MD02-2588-928.5,928.5,20.7866
MD02-2588-929.5,929.5,20.4443
MD02-2588-930.5,930.5,15.8435
MD02-2588-931.5,931.5,19.8322
MD02-2588-932.5,932.5,20.3956
MD02-2588-933.5,933.5,21.0099
MD02-2588-934.5,934.5,20.7901
MD02-2588-935.5,935.5,20.6002
MD02-2588-936.5,936.5,21.7009
MD02-2588-937.5,937.5,20.6715
MD02-2588-938.5,938.5,20.8312
MD02-2588-939.5,939.5,20.8406
MD02-2588-940.5,940.5,20.3017
MD02-2588-941.5,941.5,21.1101
MD02-2588-942.5,942.5,20.8896
MD02-2588-943.5,943.5,21.4395
MD02-2588-944.5,944.5,21.3448
MD02-2588-945.5,945.5,20.2458
MD02-2588-946.5,946.5,23.05
MD02-2588-947.5,947.5,21.3545
MD02-2588-948.5,948.5,21.1242
MD02-2588-949.5,949.5,22.247
MD02-2588-950.5,950.5,20.2947
MD02-2588-951.5,951.5,21.8857
MD02-2588-952.5,952.5,21.6396
MD02-2588-953.5,953.5,21.6178
MD02-2588-954.5,954.5,20.7449
MD02-2588-955.5,955.5,21.0801
MD02-2588-956.5,956.5,22.0293
MD02-2588-957.5,957.5,20.8642
MD02-2588-958.5,958.5,21.87
MD02-2588-959.5,959.5,21.6109
MD02-2588-960.5,960.5,21.9816
MD02-2588-961.5,961.5,21.3464
MD02-2588-962.5,962.5,23.3916
MD02-2588-963.5,963.5,21.2702
MD02-2588-964.5,964.5,21.3632
MD02-2588-965.5,965.5,20.8861
MD02-2588-966.5,966.5,21.7088
MD02-2588-967.5,967.5,21.869
MD02-2588-968.5,968.5,21.2514
MD02-2588-969.5,969.5,21.5801
MD02-2588-970.5,970.5,21.0553
MD02-2588-971.5,971.5,20.3754
MD02-2588-972.5,972.5,19.5666
MD02-2588-973.5,973.5,20.9474
MD02-2588-974.5,974.5,20.2826
MD02-2588-975.5,975.5,20.34
MD02-2588-976.5,976.5,19.8016
MD02-2588-977.5,977.5,20.0956
MD02-2588-978.5,978.5,19.5369
MD02-2588-979.5,979.5,21.3388
MD02-2588-980.5,980.5,21.9047
MD02-2588-981.5,981.5,20.0069
MD02-2588-982.5,982.5,20.1606
MD02-2588-983.5,983.5,19.7525
MD02-2588-984.5,984.5,20.5785
MD02-2588-985.5,985.5,19.5403
MD02-2588-986.5,986.5,19.9043
MD02-2588-987.5,987.5,19.7928
MD02-2588-988.5,988.5,20.1094
MD02-2588-989.5,989.5,19.5378
MD02-2588-990.5,990.5,19.0389
MD02-2588-991.5,991.5,19.596
MD02-2588-992.5,992.5,20.223
MD02-2588-993.5,993.5,19.6586
MD02-2588-994.5,994.5,20.5421
MD02-2588-995.5,995.5,19.3165
MD02-2588-996.5,996.5,20.1694
MD02-2588-997.5,997.5,20.1863
MD02-2588-998.5,998.5,19.9563
MD02-2588-999.5,999.5,19.6624
MD02-2588-1000.5,1000.5,21.1659
MD02-2588-1001.5,1001.5,19.5757
MD02-2588-1002.5,1002.5,19.8837
MD02-2588-1003.5,1003.5,18.9419
MD02-2588-1004.5,1004.5,18.7518
MD02-2588-1005.5,1005.5,19.4737
MD02-2588-1006.5,1006.5,18.19
MD02-2588-1007.5,1007.5,19.3201
MD02-2588-1008.5,1008.5,18.9059
MD02-2588-1009.5,1009.5,18.645
MD02-2588-1010.5,1010.5,19.6153
MD02-2588-1011.5,1011.5,18.6371
MD02-2588-1012.5,1012.5,18.4675
MD02-2588-1013.5,1013.5,18.546
MD02-2588-1014.5,1014.5,19.055
MD02-2588-1015.5,1015.5,18.7444
MD02-2588-1016.5,1016.5,18.6008
MD02-2588-1017.5,1017.5,19.4142
MD02-2588-1018.5,1018.5,19.88
MD02-2588-1019.5,1019.5,18.6603
MD02-2588-1020.5,1020.5,
MD02-2588-1021.5,1021.5,19.4575
MD02-2588-1022.5,1022.5,20.9458
,1023.5,19.8859
,1024.5,19.8127
,1025.5,20.0493
,1026.5,20.6324
,1027.5,20.0515
,1028.5,
,1029.5,
,1030.5,
,1031.5,
,1032.5,
,1033.5,
,1034.5,
,1035.5,
,1036.5,
,1037.5,
,1038.5,
,1039.5,
,1040.5,
,1041.5,
,1042.5,
,1043.5,
,1044.5,
,1045.5,
,1046.5,
,1047.5,
,1048.5,
,1049.5,
,1050.5,
,1051.5,
,1052.5,
,1053.5,
,1054.5,
,1055.5,
,1056.5,
,1057.5,
,1058.5,
,1059.5,
,1060.5,
,1061.5,
,1062.5,
,1063.5,
,1064.5,
,1065.5,
,1066.5,
,1067.5,
,1068.5,
,1069.5,
,1070.5,
