,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std
31,MD02-2588-31.5,0.315,0.315,3.6644357,0.255938321,,2.225537211,0.213119309,,,,21.3379,
32,MD02-2588-32.5,0.325,0.325,3.373701245,0.472357847,,2.38403623,0.674812398,,0,0,23.6858,
33,MD02-2588-33.5,0.335,0.335,3.589963865,0.455028011,,2.329716312,0.252731693,,0.25446102,0.65089244,20.6217,
34,MD02-2588-34.5,0.345,0.345,3.577061032,0.520855655,,2.451221611,0.574310169,,0.487596757,1.247236387,22.7912,
35,MD02-2588-35.5,0.355,0.355,3.710015649,0.367289736,,2.471615462,0.470757593,,0,0,21.9842,
36,MD02-2588-36.5,0.365,0.365,3.687514725,0.37620002,,2.383546817,0.471435896,,0,0,21.5093,
37,MD02-2588-37.5,0.375,0.375,3.725815779,0.369469446,,2.63720362,0.532881294,,,,19.0499,
38,MD02-2588-38.5,0.385,0.385,3.773616415,0.342909953,,2.338833551,0.469788589,,0,0,19.0928,
39,MD02-2588-39.5,0.395,0.395,4.024059089,0.174382481,,2.495487168,0.364270941,,0,0,19.7236,
40,MD02-2588-40.5,0.405,0.405,3.841380558,0.193108796,,2.358040498,0.648557566,,0.602848459,2.176203532,20.769,
41,MD02-2588-41.5,0.415,0.415,4.058016485,-0.009899527,,2.591929614,0.482137821,,0.458111436,2.808860812,20.2792,
42,MD02-2588-42.5,0.425,0.425,3.714405812,0.331789992,,2.70429903,0.602832838,,0,0,22.9508,
43,MD02-2588-43.5,0.435,0.435,4.249479316,0.253736403,,2.953458096,0.340699217,,0.35950209,2.204248253,22.6159,
44,MD02-2588-44.5,0.445,0.445,4.026872531,0.253286621,,2.678291542,0.017402923,,0,0,22.225,
45,MD02-2588-45.5,0.455,0.455,4.203808445,-0.027657907,,2.665987229,0.539944479,,1.547189273,5.402177954,19.9937,
46,MD02-2588-46.5,0.465,0.465,4.373203217,-0.018262503,,2.747722277,0.128341172,,1.835830828,4.480838999,22.3066,
47,MD02-2588-47.5,0.475,0.475,4.438379751,0.131342744,,2.610263124,0.424117287,,1.461034726,3.566048286,21.4979,
48,MD02-2588-48.5,0.485,0.485,4.420027841,0.106634328,,2.587654078,0.272378466,,1.620690819,3.955731932,25.739,
49,MD02-2588-49.5,0.495,0.495,4.546354172,-0.06982664,,2.763252274,0.605219291,,1.757634726,4.289980376,22.963,
50,MD02-2588-50.5,0.505,0.505,4.464797668,-0.150490167,,2.676040209,0.428354139,,0.956937799,2.335664128,24.0439,
51,MD02-2588-51.5,0.515,0.515,4.525435553,0.038767827,,2.804268524,0.418546773,,1.343634531,3.279501529,21.9993,
52,MD02-2588-52.5,0.525,0.525,4.51351878,0.090980052,,3.115535572,0.456681096,,0.915305626,2.23404961,23.8861,
53,MD02-2588-53.5,0.535,0.535,4.517377531,0.126576807,,3.195044869,0.678784532,,0.7183478,1.753321051,22.5766,
54,MD02-2588-54.5,0.545,0.545,4.551132671,-0.038864087,,3.177091372,0.698816572,,1.684875609,4.112392177,24.8564,
55,MD02-2588-55.5,0.555,0.555,4.459174099,0.193945497,,3.254534079,0.829095272,,4.665889018,11.38835734,19.3449,
56,MD02-2588-56.5,0.565,0.565,4.397389425,0.033525641,,3.249155698,0.495842286,,7.528660241,18.37572063,23.7004,
57,MD02-2588-57.5,0.575,0.575,4.469414852,0.04240756,,2.749079861,0.48983515,,3.675457135,8.970941885,20.1525,
58,MD02-2588-58.5,0.585,0.585,4.475709354,0.053463148,,3.083593018,0.637028691,,4.992944752,12.18662484,19.6434,
59,MD02-2588-59.5,0.595,0.595,4.495217536,0.012812488,,3.316539783,0.849549532,,4.073319756,9.942032641,19.2364,
60,MD02-2588-60.5,0.605,0.605,4.44664949,-0.041522883,,2.95287613,0.628667591,,1.842626083,4.497424647,24.8125,
61,MD02-2588-61.5,0.615,0.615,4.517742236,0.100378858,,2.872946436,0.891139472,,1.81811295,4.437593752,25.762,
